COLLISION_ID,CRASH DATE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
4702082,01/01/2024,BROOKLYN,0,0
4691881,01/01/2024,NA,1,0
4692079,01/01/2024,BROOKLYN,2,0
4691952,01/01/2024,QUEENS,0,0
4692341,01/01/2024,NA,0,0
4691606,01/01/2024,QUEENS,1,0
4691924,01/01/2024,BROOKLYN,0,0
4692223,01/01/2024,QUEENS,0,0
4692003,01/01/2024,NA,0,0
4692310,01/01/2024,NA,1,0
4692448,01/01/2024,MANHATTAN,0,0
4691645,01/01/2024,QUEENS,0,0
4692012,01/01/2024,BROOKLYN,0,0
4691680,01/01/2024,QUEENS,0,0
4691840,01/01/2024,QUEENS,1,0
4692107,01/01/2024,NA,0,0
4692174,01/01/2024,BRONX,0,0
4691812,01/01/2024,BROOKLYN,1,0
4691747,01/01/2024,NA,0,0
4691801,01/01/2024,BRONX,2,0
4691751,01/01/2024,BROOKLYN,1,0
4691834,01/01/2024,MANHATTAN,0,0
4691697,01/01/2024,QUEENS,2,0
4691979,01/01/2024,NA,0,0
4692029,01/01/2024,MANHATTAN,0,0
4691740,01/01/2024,QUEENS,0,0
4691826,01/01/2024,BRONX,0,0
4691934,01/01/2024,QUEENS,1,0
4692165,01/01/2024,QUEENS,1,0
4691844,01/01/2024,BROOKLYN,0,0
4691901,01/01/2024,NA,1,0
4691773,01/01/2024,NA,0,0
4691968,01/01/2024,NA,1,0
4692348,01/01/2024,BROOKLYN,1,0
4692013,01/01/2024,NA,0,0
4691915,01/01/2024,MANHATTAN,1,0
4692128,01/01/2024,BROOKLYN,0,0
4691853,01/01/2024,BRONX,0,0
4692055,01/01/2024,BRONX,3,0
4691925,01/01/2024,NA,0,0
4692058,01/01/2024,STATEN ISLAND,1,0
4692004,01/01/2024,BRONX,0,0
4692357,01/01/2024,NA,0,0
4691610,01/01/2024,NA,1,0
4691890,01/01/2024,NA,0,0
4692339,01/01/2024,NA,0,0
4691656,01/01/2024,NA,5,0
4692363,01/01/2024,BRONX,0,0
4691851,01/01/2024,BROOKLYN,1,0
4692005,01/01/2024,BRONX,0,0
4691917,01/01/2024,NA,0,0
4691954,01/01/2024,QUEENS,1,0
4691758,01/01/2024,BROOKLYN,0,0
4691806,01/01/2024,BRONX,0,0
4691882,01/01/2024,NA,1,0
4691741,01/01/2024,QUEENS,2,0
4692073,01/01/2024,NA,0,0
4691785,01/01/2024,BROOKLYN,0,0
4691930,01/01/2024,NA,0,0
4691871,01/01/2024,NA,2,0
4691941,01/01/2024,QUEENS,0,0
4691672,01/01/2024,NA,7,0
4691835,01/01/2024,MANHATTAN,0,0
4692101,01/01/2024,NA,0,0
4691978,01/01/2024,NA,1,0
4692023,01/01/2024,MANHATTAN,0,0
4691897,01/01/2024,BROOKLYN,0,0
4692303,01/01/2024,QUEENS,0,0
4691939,01/01/2024,BROOKLYN,0,0
4691696,01/01/2024,NA,0,0
4692043,01/01/2024,NA,1,5
4691811,01/01/2024,BROOKLYN,3,0
4692059,01/01/2024,BROOKLYN,0,0
4691888,01/01/2024,NA,0,0
4692042,01/01/2024,QUEENS,0,0
4691963,01/01/2024,MANHATTAN,1,0
4691618,01/01/2024,BROOKLYN,0,0
4692284,01/01/2024,MANHATTAN,3,0
4691784,01/01/2024,BROOKLYN,0,0
4691786,01/01/2024,NA,0,0
4692132,01/01/2024,QUEENS,1,0
4691822,01/01/2024,BROOKLYN,0,0
4692201,01/01/2024,QUEENS,0,0
4691870,01/01/2024,BROOKLYN,0,0
4691709,01/01/2024,NA,1,0
4692136,01/01/2024,NA,0,0
4691742,01/01/2024,NA,1,0
4691821,01/01/2024,BROOKLYN,0,0
4691850,01/01/2024,MANHATTAN,0,0
4692006,01/01/2024,NA,0,0
4692283,01/01/2024,MANHATTAN,0,0
4691753,01/01/2024,NA,0,0
4691883,01/01/2024,NA,0,0
4691682,01/01/2024,QUEENS,2,0
4691838,01/01/2024,NA,3,0
4692117,01/01/2024,BRONX,0,0
4691831,01/01/2024,NA,1,0
4692246,01/01/2024,NA,0,0
4691919,01/01/2024,QUEENS,0,0
4692199,01/01/2024,NA,0,0
4692000,01/01/2024,BRONX,0,0
4691909,01/01/2024,BRONX,1,0
4691892,01/01/2024,QUEENS,1,0
4691659,01/01/2024,MANHATTAN,1,0
4691809,01/01/2024,NA,2,0
4691947,01/01/2024,NA,2,0
4691959,01/01/2024,QUEENS,1,0
4692099,01/01/2024,QUEENS,0,0
4691929,01/01/2024,NA,0,0
4691872,01/01/2024,QUEENS,0,0
4691977,01/01/2024,BROOKLYN,3,0
4692049,01/01/2024,STATEN ISLAND,0,0
4692062,01/01/2024,BROOKLYN,0,0
4691620,01/01/2024,BROOKLYN,0,0
4691908,01/01/2024,BRONX,0,0
4691788,01/01/2024,BROOKLYN,0,0
4692204,01/01/2024,NA,0,0
4692381,01/01/2024,NA,0,1
4691999,01/01/2024,QUEENS,0,0
4692021,01/01/2024,NA,0,0
4692120,01/01/2024,MANHATTAN,1,0
4691829,01/01/2024,BROOKLYN,0,0
4691869,01/01/2024,NA,1,0
4691726,01/01/2024,NA,4,0
4692149,01/01/2024,NA,2,0
4691938,01/01/2024,QUEENS,1,0
4691832,01/01/2024,QUEENS,1,0
4691877,01/01/2024,QUEENS,1,0
4692236,01/01/2024,BRONX,0,0
4691708,01/01/2024,BRONX,2,0
4691778,01/01/2024,BROOKLYN,1,0
4692186,01/01/2024,BROOKLYN,1,0
4691681,01/01/2024,BRONX,1,0
4691886,01/01/2024,MANHATTAN,0,0
4692110,01/01/2024,NA,0,0
4691816,01/01/2024,BROOKLYN,0,0
4691950,01/01/2024,BROOKLYN,0,0
4691922,01/01/2024,BROOKLYN,1,0
4692282,01/01/2024,BROOKLYN,0,0
4691962,01/01/2024,MANHATTAN,1,0
4691810,01/01/2024,NA,1,0
4691752,01/01/2024,BROOKLYN,1,0
4691839,01/01/2024,NA,0,0
4692002,01/01/2024,BRONX,1,0
4692080,01/01/2024,BROOKLYN,0,0
4691746,01/01/2024,MANHATTAN,0,0
4691668,01/01/2024,MANHATTAN,0,0
4691891,01/01/2024,NA,1,0
4692007,01/01/2024,STATEN ISLAND,0,0
4691848,01/01/2024,NA,0,0
4692361,01/01/2024,BROOKLYN,0,0
4692286,01/01/2024,MANHATTAN,0,0
4691911,01/01/2024,NA,0,0
4692305,01/01/2024,QUEENS,2,0
4692153,01/01/2024,QUEENS,0,0
4691794,01/01/2024,NA,0,0
4692124,01/01/2024,NA,0,0
4691774,01/01/2024,BROOKLYN,0,0
4691833,01/01/2024,MANHATTAN,0,0
4691729,01/01/2024,NA,1,0
4692349,01/01/2024,STATEN ISLAND,1,0
4691623,01/01/2024,BRONX,4,0
4692032,01/01/2024,NA,1,0
4692064,01/01/2024,BROOKLYN,0,0
4691907,01/01/2024,NA,0,0
4691936,01/01/2024,NA,5,0
4692050,01/01/2024,STATEN ISLAND,1,0
4691828,01/01/2024,BROOKLYN,0,0
4691704,01/01/2024,NA,2,0
4692207,01/01/2024,BROOKLYN,1,0
4691880,01/01/2024,NA,0,0
4691864,01/01/2024,NA,4,0
4692275,01/01/2024,BROOKLYN,1,0
4691927,01/01/2024,BROOKLYN,0,0
4691988,01/01/2024,NA,5,0
4692014,01/01/2024,NA,0,0
4691912,01/01/2024,BRONX,0,0
4692323,01/01/2024,NA,0,0
4691951,01/01/2024,NA,1,0
4692711,01/01/2024,NA,0,0
4692761,01/01/2024,QUEENS,0,0
4692474,01/01/2024,QUEENS,1,0
4692567,01/01/2024,QUEENS,0,0
4692621,01/01/2024,NA,1,0
4692529,01/01/2024,MANHATTAN,0,0
4692521,01/01/2024,NA,0,0
4692582,01/01/2024,BROOKLYN,0,0
4692645,01/01/2024,QUEENS,0,0
4692576,01/01/2024,NA,0,0
4692523,01/01/2024,MANHATTAN,1,0
4692644,01/01/2024,NA,0,0
4692614,01/01/2024,MANHATTAN,0,0
4692558,01/01/2024,BRONX,2,0
4692604,01/01/2024,NA,1,0
4692534,01/01/2024,QUEENS,1,0
4692484,01/01/2024,BROOKLYN,0,0
4692766,01/01/2024,MANHATTAN,0,0
4692615,01/01/2024,BRONX,0,0
4692695,01/01/2024,BROOKLYN,0,0
4692561,01/01/2024,QUEENS,0,0
4692752,01/01/2024,BROOKLYN,0,0
4692562,01/01/2024,BRONX,0,0
4692894,01/01/2024,BROOKLYN,0,0
4693384,01/01/2024,NA,0,0
4692799,01/01/2024,BRONX,2,0
4692945,01/01/2024,NA,5,0
4693246,01/01/2024,BRONX,0,0
4692979,01/01/2024,QUEENS,0,0
4693359,01/01/2024,QUEENS,1,0
4692952,01/01/2024,QUEENS,0,0
4693238,01/01/2024,NA,2,0
4693021,01/01/2024,MANHATTAN,0,0
4693351,01/01/2024,MANHATTAN,0,0
4693215,01/01/2024,QUEENS,0,0
