UNIQUE_ID,COLLISION_ID,PERSON_TYPE,PERSON_INJURY,PERSON_AGE,PERSON_SEX
12849156,4691851,Occupant,Unspecified,27,M
12851399,4692341,Occupant,Unspecified,40,F
12850717,4691934,Occupant,Unspecified,73,M
12849443,4691778,Bicyclist,Injured,31,M
12850277,4691968,Occupant,Unspecified,NA,NA
12849144,4691672,Occupant,Unspecified,20,M
12850804,4691938,Occupant,Unspecified,36,M
12850696,4692101,Occupant,Unspecified,NA,U
12851546,4692284,Occupant,Unspecified,NA,NA
12850231,4692032,Occupant,Unspecified,NA,NA
12849283,4691901,Bicyclist,Injured,68,M
12849338,4691753,Occupant,Unspecified,64,M
12847851,4691610,Occupant,Unspecified,70,M
12850353,4691925,Occupant,Unspecified,NA,F
12850230,4692032,Occupant,Unspecified,32,M
12849139,4691672,Occupant,Unspecified,31,F
12850308,4692023,Occupant,Unspecified,54,F
12849291,4691784,Occupant,Unspecified,31,F
12849361,4691828,Occupant,Unspecified,37,F
12849114,4691659,Occupant,Unspecified,31,M
12849131,4691810,Occupant,Unspecified,77,M
12850251,4691977,Occupant,Unspecified,32,M
12851616,4692357,Occupant,Unspecified,NA,NA
12849195,4691680,Occupant,Unspecified,34,M
12854412,4693004,Occupant,Unspecified,27,M
12853828,4692043,Occupant,Unspecified,NA,NA
12854292,4692945,Occupant,Unspecified,17,M
12851355,4692207,Occupant,Injured,38,F
12849349,4691912,Occupant,Unspecified,23,M
12849143,4691672,Occupant,Injured,19,F
12849245,4691729,Occupant,Unspecified,24,F
12850639,4692110,Occupant,Unspecified,NA,U
12849328,4691883,Occupant,Unspecified,35,M
12849240,4691729,Occupant,Unspecified,43,F
12851349,4692236,Occupant,Unspecified,56,F
12850478,4691930,Occupant,Unspecified,31,M
12849337,4691753,Occupant,Unspecified,44,M
12850536,4691620,Occupant,Unspecified,36,M
12850447,4691979,Occupant,Unspecified,24,M
12850634,4692128,Occupant,Unspecified,28,M
12849166,4691751,Occupant,Unspecified,48,F
12851421,4692305,Occupant,Unspecified,NA,F
12851549,4692310,Occupant,Injured,54,F
12850626,4692055,Occupant,Unspecified,59,F
12850278,4691752,Bicyclist,Injured,23,M
12850222,4692029,Occupant,Unspecified,34,M
12851329,4692448,Occupant,Unspecified,22,M
12849384,4691742,Bicyclist,Injured,26,M
12850292,4692003,Occupant,Unspecified,48,F
12850303,4691962,Occupant,Unspecified,40,F
12850380,4692174,Occupant,Unspecified,NA,NA
12850554,4691682,Occupant,Injured,35,M
12849460,4691877,Bicyclist,Unspecified,19,M
12849119,4691709,Occupant,Injured,30,F
12849455,4691773,Occupant,Unspecified,39,M
12850776,4692021,Occupant,Unspecified,53,F
12849302,4691891,Occupant,Unspecified,27,M
12850349,4691925,Occupant,Unspecified,23,M
12849130,4691810,Pedestrian,Injured,32,M
12849426,4691881,Occupant,Unspecified,36,M
12850900,4692080,Occupant,Unspecified,45,M
12847856,4691606,Occupant,Unspecified,NA,NA
12849121,4691908,Occupant,Unspecified,NA,U
12849188,4691871,Occupant,Unspecified,28,F
12850321,4692136,Occupant,Unspecified,19,M
12850379,4692174,Occupant,Unspecified,28,M
12850549,4692132,Occupant,Unspecified,NA,U
12850498,4692004,Occupant,Unspecified,22,F
12849239,4691729,Occupant,Unspecified,24,F
12850902,4692080,Occupant,Unspecified,NA,NA
12850526,4692124,Occupant,Unspecified,63,F
12850641,4692110,Occupant,Unspecified,31,M
12847852,4691610,Occupant,Unspecified,21,M
12849452,4691773,Occupant,Unspecified,39,M
12850480,4691954,Occupant,Injured,57,M
12850559,4692005,Occupant,Unspecified,48,M
12847855,4691606,Other Motorized,Injured,39,M
12849317,4691838,Occupant,Injured,17,F
12850616,4692055,Occupant,Injured,26,F
12850832,4692073,Occupant,Unspecified,42,M
12850323,4692136,Occupant,Unspecified,20,M
12851583,4692303,Occupant,Unspecified,32,F
12849464,4691774,Occupant,Unspecified,NA,NA
12850414,4691929,Occupant,Unspecified,NA,U
12850350,4691925,Occupant,Unspecified,15,M
12849462,4691806,Occupant,Unspecified,47,F
12850553,4691682,Occupant,Unspecified,40,F
12849278,4691864,Occupant,Injured,39,M
12849220,4691704,Occupant,Unspecified,39,M
12850363,4692153,Occupant,Unspecified,35,M
12849263,4691909,Occupant,Unspecified,NA,M
12849393,4691812,Pedestrian,Injured,66,M
12849170,4691822,Occupant,Unspecified,NA,NA
12849311,4691838,Occupant,Unspecified,21,M
12850305,4691962,Occupant,Unspecified,NA,U
12851550,4692310,Occupant,Unspecified,NA,NA
12851535,4692349,Occupant,Unspecified,24,M
12849389,4691833,Occupant,Unspecified,NA,NA
12850809,4692117,Occupant,Unspecified,50,M
12849465,4691774,Occupant,Unspecified,43,F
12849324,4691741,Occupant,Injured,42,F
12849222,4691704,Occupant,Injured,28,M
12849305,4691892,Occupant,Injured,52,M
12850499,4692004,Occupant,Unspecified,22,F
12851424,4692305,Occupant,Injured,30,F
12849404,4691840,Occupant,Unspecified,38,M
12850635,4692128,Occupant,Unspecified,NA,NA
12849301,4691891,Occupant,Injured,26,M
12849343,4691623,Occupant,Unspecified,2,M
12849416,4691853,Occupant,Unspecified,26,F
12849285,4691901,Occupant,Unspecified,56,M
12850338,4692042,Occupant,Unspecified,42,M
